Energy outputs   (0.073 MeV RMS for JP fit)
       exp      error        BAB         JP     BAB-JP 
  44414605.9987   27419796.1742   10228879.7632   27897927.4242      50419.1655     106573.3032      69824.0847     619827.8409      76499.0474      73730.0974     236558.9532    -146741.4645     111897.0296     469683.1090   -1080192.1854       -490.2289    -803385.6047    -834727.3729        173.6305      10246.5653       3713.7524      12400.1837      41645.5945   -2036048.9976       1056.3611       3494.3337      16007.9993     113322.3199    -448735.4850        367.5980      16797.1117      95024.6167     -23042.8767    -584700.6075      12385.9729     119478.2706    -539056.7164      32927.4144     419444.1023   -1862082.6838       -906.2395   -2555643.8667    -457655.6513      -8987.7772     747796.6923   -2917514.6524       1534.7216       5854.2468   -2280563.3070     175394.5187   -1370281.0398       4374.0294        641.1493   -1302464.3505       1574.0401   -1138201.2144    -276616.3073   -1117590.7634      -5253.8265      18609.6810    -612244.3117      41632.8402    -264411.0880   -2386866.4481      24837.7996   -3203338.9730    -842816.5254     823700.6050   -1690135.4398
    111516.9874      65451.7714      21631.2774      50419.1655        131.1804        506.3693        291.8147       2192.2791        175.6016        282.9908        785.3029       -277.4041        333.2703        914.4540      -2433.1053         -2.7421      -1582.4087      -1966.6793         -0.8852         53.1266         16.1677         81.6667        148.5067      -4573.9668          4.0492         16.3047         90.1230        405.4860       -907.4363          0.6083         70.9791        283.4412        -40.3766      -1283.5351         60.4205        406.0495      -1069.2707         98.9828        646.3017      -4154.1150         -3.1315      -5088.7841       -802.8499        -34.1709       1286.2396      -6837.2363         17.2048         21.5407      -5126.7114        639.9121      -2386.9773         14.8107          1.6509      -2242.6427          4.4398      -1838.6814       -407.4932      -1961.7204        -20.0033         46.8664      -1069.7862        108.8931       -430.8586      -4162.1526         96.6043      -5434.9665      -1231.3970       1438.1451      -2503.8868
    382971.9912     201494.3434      56848.4851     106573.3032        506.3693       4532.7621       1917.7563      11338.7798        567.1936       1817.3664       4248.4517       -677.5035       1679.6226       2720.2100      -6679.0760        -26.0350      -3563.7008      -5995.6716        -17.5279        200.5565         29.2637        389.1591        532.1801     -12573.1186          5.5351         64.4000        486.4777       1558.9665      -2117.2263         -7.6597        203.5111        804.8135        -77.6839      -3418.3766        188.4874       1459.6480      -2428.7841        273.2518        951.1930     -11313.6234         13.0523     -11768.2573      -1548.7149       -161.2023       2345.0376     -20820.2717        184.6647        102.3827     -14134.7854       2503.3128      -4538.2534         65.3337          5.0415      -4141.9647         17.0765      -2951.2210       -539.9491      -3786.3778        -87.8331        136.4746      -2048.9521        339.7208       -686.1252      -7945.3368        433.1811      -9659.1501      -1567.1908       2747.3914      -3199.9186
    235673.4988     126718.3633      33118.4116      69824.0847        291.8147       1917.7563       1404.3999       6218.4063        328.8773       1292.5930       2219.2881       -484.3339       1276.0165       1538.0323      -4341.9271        -15.2526      -2113.3543      -3814.3600         -6.1379        148.6636         39.8557        260.1231        351.4279      -8131.7891          6.9138         46.5063        334.8643        969.6833      -1273.0950         -3.1870        141.1069        425.8755        -51.8557      -2165.5421        173.0273        912.3957      -1442.7304        146.8741        619.8924      -7338.2076         -4.8637      -7024.2790      -1027.4953        -89.3722       1577.6113     -13218.5687         70.8993         63.4639      -9180.7841       1581.9521      -3018.3140         44.6006          4.5044      -2747.1636         12.6418      -1961.2901       -351.5757      -2516.1182        -48.2593        112.2672      -1348.2858        250.3815       -443.6146      -5290.0122        269.1895      -6438.6674      -1027.5659       1837.4070      -2155.6509
   1808319.5727    1036386.7866     316478.8689     619827.8409       2192.2791      11338.7798       6218.4063      48938.6218       2736.6118       5933.9732      17631.2600      -3665.7528       7650.1121      16270.2082     -36874.7870        -60.4694     -21621.7471     -30578.1155        -21.8832       1011.2986        293.8273       1599.4802       2727.5258     -69352.9352         75.1993        321.2933       1852.4972       8208.6997     -12665.1061          3.5368       1332.9942       5066.1845       -470.5116     -19173.2555       1159.1748       7998.9858     -14667.3478       1675.2085       6281.9481     -62745.0445        -58.8308     -70240.8214      -9386.8995       -788.3044      14630.3203    -106122.5589        351.4613        353.0579     -77744.9332      12886.8954     -27610.6489        295.6803         22.1761     -25750.2898         87.9947     -19124.0898      -3603.2412     -22954.1771       -449.4367        656.3784     -12565.3257       1728.3814      -4457.4970     -48165.4660       2124.6490     -60616.0520     -10591.3983      16641.3956     -21242.1015
    152528.3045      93447.3191      31777.0739      76499.0474        175.6016        567.1936        328.8773       2736.6118        259.0150        363.2411       1055.3421       -418.6508        437.4730       1346.1725      -3533.4747         -3.1310      -2399.9905      -2754.4736         -0.1694         61.4354         18.5431         77.2264        191.0666      -6660.6336          5.5802         18.2168         93.4714        538.0012      -1352.2956          1.2142         90.2812        397.6845        -61.8518      -1913.4143         66.3534        558.3239      -1619.0341        136.8464       1014.2035      -6062.6545         -5.6077      -7615.4905      -1227.9945        -44.8213       1991.6545      -9597.0439         12.7405         25.5999      -7456.6065        846.0824      -3657.4300         19.1410          2.3845      -3484.1125          6.1584      -2878.1176       -645.9599      -2999.0384        -26.6180         67.2263      -1652.8723        151.7242       -674.7106      -6378.8650        120.2700      -8483.3548      -1958.3843       2204.3102      -3978.3226
    232177.6022     131878.3128      33951.2269      73730.0974        282.9908       1817.3664       1292.5930       5933.9732        363.2411       1374.8061       2311.1731       -501.1985       1187.5093       1597.2439      -4539.7861        -15.7025      -2224.4069      -3818.4412         -4.7100        138.8357         33.6922        206.8696        350.9403      -8541.1538          8.4729         36.8873        294.3408        993.3807      -1313.5189         -3.8251        144.8999        456.5170        -55.3699      -2366.4965        139.2584        979.2216      -1518.1696        153.8969        666.3754      -7713.7448        -11.8856      -7249.0272      -1091.1275        -88.3243       1694.6259     -13256.9224         56.4952         57.9427      -9613.6314       1619.3060      -3202.1081         44.7344          6.0461      -2978.0853         16.0979      -2047.5391       -377.2242      -2665.9040        -49.9184        142.7628      -1450.5581        285.3689       -463.4956      -5619.4860        263.7269      -6982.5643      -1106.5297       1956.3118      -2328.8435
    649298.3693     383382.8237     118573.4131     236558.9532        785.3029       4248.4517       2219.2881      17631.2600       1055.3421       2311.1731       6801.9175      -1427.3399       2942.5312       6179.0905     -13725.0938        -23.5963      -8281.0701     -11081.6734         -6.3755        311.0225         80.5948        429.8328        932.8809     -25903.9922         25.0359         99.0304        572.4648       2972.9648      -4770.0624          0.0578        428.3367       1814.0427       -180.6108      -7309.9908        327.4883       2958.4320      -5606.4824        581.8264       2419.7623     -23473.0612        -23.1710     -26608.7905      -3595.6916       -293.6658       5641.7848     -38554.3022        104.0442        110.1009     -29012.5782       4661.5363     -10587.2114        109.0400          7.7342      -9993.7474         32.1045      -7470.2322      -1407.9904      -8791.7176       -169.6068        229.0867      -4861.9400        618.9853      -1741.4173     -18484.8925        771.8940     -23526.6695      -4158.3271       6388.9772      -8341.5460
   -241486.3415    -149339.6005     -62181.3958    -146741.4645       -277.4041       -677.5035       -484.3339      -3665.7528       -418.6508       -501.1985      -1427.3399       1040.4815       -966.6806      -2437.5095       5840.7644          2.9209       4873.2597       4503.3515         -0.6837        -55.7100        -20.8923        -66.8739       -238.5807      11007.8230         -6.3101        -20.6776        -89.4961       -672.4751       2709.4592         -2.2753        -83.7898       -628.2867        120.8055       3171.0282        -66.0681       -703.7847       3266.5094       -210.0713      -2167.1960      10057.6039          3.3192      15454.9895       2400.3682         56.0755      -3912.8603      15733.3229        -11.7686        -31.2645      12321.7888      -1018.7886       7176.9696        -22.8997         -0.3780       6831.7879         -5.7144       6706.3281       1408.8637       5857.0474         35.0927        -17.5150       3216.5138       -106.1153       1501.6065      12498.1615       -151.2945      16753.0700       4284.7168      -4309.4447       8516.6156
    273064.8503     160148.0394      58668.1761     111897.0296        333.2703       1679.6226       1276.0165       7650.1121        437.4730       1187.5093       2942.5312       -966.6806       2269.5643       2818.0533      -5830.9537        -10.4029      -4224.7254      -4723.3131         -2.0140         91.7133         30.0966        139.2921        317.4925     -10990.6736          7.3376         37.4547        215.3679       1132.6594      -2395.0557         -1.2946         84.7425        659.1888        -86.4522      -3073.2846        109.6338       1095.3678      -2832.7599        167.5115       1212.5230      -9988.8813         -6.9939     -13607.7950      -1718.1694       -123.4317       2711.9203     -16463.6961         34.5817         36.9339     -12334.0619       1777.2816      -5087.5410         43.5257         -4.0979      -4805.5600          2.0196      -4377.8293       -738.2818      -4213.8985        -70.9874        -62.4073      -2326.9227         88.3727       -977.6945      -8893.8458        333.7309     -11375.0368      -2225.8564       3065.6969      -4401.8479
    782645.7665     480788.5515     175482.5055     469683.1090        914.4540       2720.2100       1538.0323      16270.2082       1346.1725       1597.2439       6179.0905      -2437.5095       2818.0533      11033.7127     -18610.6464        -11.0090     -13492.6552     -14432.0149          0.6530        177.9358         59.3803        228.6745        681.8519     -35070.3985         19.2729         67.5969        322.7875       2222.2706      -7556.8252          4.5365        290.7906       1638.9127       -382.4314     -10057.9906        217.1374       2266.8043      -9053.2471        531.8351       6929.1476     -32034.2345        -13.2999     -43011.5800      -7608.8829       -224.2029      12378.2094     -50424.7100         44.0504         83.3523     -39257.7945       3344.1483     -22741.0639         85.7679         11.6691     -21665.4273         41.5243     -18444.2372      -4525.8222     -18559.5166       -119.4966        332.7144     -10207.4521        741.8666      -4242.4026     -39551.6397        549.1161     -52916.4266     -13715.7482      13631.2716     -26870.9916
  -2139491.1349   -1302737.4017    -445536.3231   -1080192.1854      -2433.1053      -6679.0760      -4341.9271     -36874.7870      -3533.4747      -4539.7861     -13725.0938       5840.7644      -5830.9537     -18610.6464      49676.7370         30.7489      33660.2868      38867.3540         -2.4980       -916.7171       -280.8841      -1167.4340      -2729.4264      93470.4607        -81.3938       -275.2869      -1340.1110      -7522.3487      19074.2197        -22.8957      -1326.6256      -5634.2114        875.7926      26594.9204      -1033.6766      -7744.7387      22700.5150      -1953.1241     -14429.5101      85137.9074         85.5201     107324.5229      17395.3379        606.9154     -28157.1008     135312.1283       -144.9948       -358.9906     104708.5471     -11830.7493      51823.7466       -264.9736        -33.3601      49136.8411        -84.8194      40803.3454       9197.9820      42495.6999        363.5403       -947.0339      23312.4180      -2147.0856       9568.2856      90354.0730      -1690.2333     119684.4726      27896.4001     -31222.8984      56690.7258
     -1926.3084      -1009.5597       -194.7826       -490.2289         -2.7421        -26.0350        -15.2526        -60.4694         -3.1310        -15.7025        -23.5963          2.9209        -10.4029        -11.0090         30.7489          0.8041         10.1641         29.5010          0.0091          0.6569          0.6962          1.0153         -2.2443         61.4888          0.0306         -0.0290         -5.9482         -8.0070          6.8491          0.2670          0.5256         -0.9952          0.3393         15.4002         -0.6836         -6.5664          7.2782         -0.7049         -2.8445         53.9827          0.0812         37.2974          6.7058          1.0021         -9.9939        108.1741         -0.5365         -0.5368         71.1444        -14.0317         19.8185         -0.3609         -0.0653         16.3179         -0.1269          8.0189          1.5253         16.7192          0.3441         -1.5812          8.2082         -2.7479          1.9887         34.4560         -3.1220         38.0226          4.2263        -12.1750          9.6081
