Energy outputs   (0.0703 MeV RMS for JP fit) 
       exp      error        BAB         JP       Diff 
    1.7361     1.7362     0.0001
    0.6329     0.6321    -0.0008
   -0.1694    -0.1694    -0.0000
   -0.1143    -0.1137     0.0006
    0.2449     0.2447    -0.0002
    0.1191     0.1190    -0.0001
    0.4237     0.4234    -0.0003
   -0.0592    -0.0584     0.0008
    1.0765     1.0765    -0.0000
    0.3896     0.3895    -0.0001
   -0.2783    -0.2783    -0.0000
    0.5956     0.5956     0.0000

Elements of G: 
     54111.0615      29161.0359      11059.1573      39781.2292      10726.6293       4387.6570       4060.3176      -7584.6544       7386.3714       2294.9483      -4702.8325       5241.2343      -4044.1262       6915.9190      20495.6263        296.1331      15205.3736      40226.0771        225.9458       -358.0652        -37.2975        413.9873      -1023.7577      34518.2126        597.7640       -124.7811       -941.4332       3604.5959      25868.3543       -913.1049       -706.5836       -790.9503      18528.7046      31754.3433        -88.2151      -3028.0462      25046.2940       -367.7695      13062.0643      48131.3765       -419.3039      36616.7789      26175.2364       1996.3904      25071.9812      72714.0278       -653.9669       -274.6843      61816.5261       5321.8132      33361.7927       -506.3115       -242.3234      32933.4584        188.2724      28980.2743      22635.5738      41282.8490       1876.1773       -324.0775      41079.9090       -387.4604      35961.6593      48187.3874      -2958.3504      46141.3770      32712.0208      55165.8965      42845.0058
     29161.0359      21702.7641       8110.2717      25494.8835       5434.5219       1357.5597       1474.6264      -4080.0038       5474.5424       1263.8768      -3187.1909       3561.5090      -2589.7248       4714.8706      14076.1601         69.5876      11227.8779      21518.6079        183.4434        339.1406        110.2337         69.8916       -491.7435      23480.7640       -506.4221       -631.1290       -542.1224       2649.5464      18316.5399        118.4713        266.4828       -984.5571      11832.3488      24378.5224        342.9477      -2687.1441      18818.3832       -468.0401       8637.1218      32382.6516        202.8275      25368.4378      16627.1144       1417.1441      16477.3312      38468.4638        -55.4216         58.2680      42435.1656       3818.7722      21190.7025       -258.7846       -333.9053      22087.7229        -16.7506      19499.0979      15000.4429      26233.2551       1367.1770       -542.9311      27538.0675         39.2171      24103.6426      30674.6346      -1683.2752      30989.6256      21667.0763      35260.0970      28192.4674
     11059.1573       8110.2717       5944.2799      10465.9481       2188.7980        865.3516        540.9872      -2413.0911       2218.8925        438.8684      -1939.3534       3261.0072      -2570.2434       2625.4593       5240.6628        -38.5293       7848.2526       8005.1824         63.5927        168.1769         36.4688         43.6709        -73.6546       8741.6025       -286.8746       -240.5916         26.0321       1222.7279      13131.3037        232.0561        216.5098      -1054.4185       4725.8177       9350.5087         28.6393      -1100.5451      13126.4847       -351.6285       3683.5335      11994.4225         28.2451      18170.7937       6677.6025        898.8694       6473.9650      14152.5905         10.1356        147.8729      15454.7668       1459.3862       8485.8980       -114.0921      -1068.5028       8896.8561       -680.6725      12249.2192       6565.3069      10561.5180        861.1785      -1864.3259      11315.1675       1262.4740      13759.0758      12281.1006      -1147.7434      12224.7316       9488.0219      14002.4212      11366.8506
     39781.2292      25494.8835      10465.9481      49597.1034       7289.3089       1849.4889       2069.2394      -4285.7473       6477.5292       1546.9584      -3113.8046       5062.2509      -3212.5572       8609.3243      17850.6999        104.7611      14528.1160      30791.9018        123.1901        117.9317        -39.0640        138.4326        -34.4667      29800.9108          4.5784        -31.1848       -369.0859        477.5484      24606.1831       -194.9585        324.7390        266.7325      23385.4210      29306.3936         79.8746       -457.3014      24393.5100        332.5785      18157.3297      41669.3959         40.9996      34212.0190      32731.0788        402.7910      32511.8953      55437.5707        -79.5942       -147.7391      53680.9948        784.0207      41940.8704       -365.9585        569.1033      41718.9503        820.3845      36356.8891      32334.9946      51259.8806        217.7993       1078.7990      51295.6366      -1336.0105      44893.2433      60709.1489       -876.2287      59924.9155      47040.0005      70333.0022      61652.8387
     10726.6293       5434.5219       2188.7980       7289.3089       3458.5251       2662.1489       1987.6933      -3144.2471       1846.7911       1126.9541      -2027.4956       1379.4429      -1783.3161       2110.2524       3737.6178        181.8939       2937.1006       7579.9298        344.3287       -664.8413       -415.2897       -480.6235        153.9705       6408.8729        489.0411        290.5533        -81.1777        752.9534       4722.3042       -657.7953       -680.2052        178.8410       3223.0391       5761.9372       -446.0308       -455.5702       4670.6286        250.4532       2197.0700       8895.9658       -253.6224       7148.3082       4632.2673        769.6625       4289.1676      14093.6267       -315.1788         52.8680      11078.6562       1022.6682       5885.8097       -169.5483       -288.4701       5909.4415        -96.7125       5464.7842       4024.6370       7299.8772        627.1734       -492.3748       7395.8684        225.7327       6529.6663       8465.9024       -883.6019       8006.8271       5864.4822       9510.9510       7351.3575
