Energy outputs   (0.189 MeV RMS for JP fit) 
       exp      error        BAB         JP       Diff 
 100705350.1819   59066381.2004   19975956.5439   47600325.9848     114031.3835     383203.5788     235837.6507    1809243.3034     155756.9091     232342.2267     649570.0249    -261393.3811     273161.1668     832490.4370   -2193232.2642      -1929.5465   -1461431.3092   -1773460.9874       -549.8535      53702.3624      17523.6715      79515.5411     135029.1135   -4124415.7285       3870.7857      15155.6660      78928.2714     355565.7220    -840366.8947        899.0867      68616.6582     253729.2145     -38077.9096   -1156230.1621      58502.6002     358590.2630    -988157.4081      89719.2287     648643.1577   -3751430.2837      -3834.2930   -4706415.5272    -756729.7072     -28720.2608    1209955.1080   -6164990.7479      13231.5648      19908.5549   -4634703.2885     564549.9383   -2252662.8447      12633.9841       1486.9507   -2108405.3965       3853.8513   -1820693.2476    -415348.2578   -1850006.8712     -17096.3247      41965.2214   -1003932.0060      96106.1184    -424660.8005   -3930083.9864      82516.5501   -5126629.7725   -1256052.7431    1358060.8091   -2543386.7212
  59066381.2004   35826805.2712   12203597.2642   29310534.4222      66815.9058     201582.0000     126793.3231    1036878.7273      95619.0792     131962.7890     383538.2955    -161344.6793     160204.8122     510373.8475   -1334975.2181      -1011.0150    -907801.2289   -1051766.0626       -179.0320      28586.6190       8728.9974      37933.1773      76931.6509   -2513020.3180       2378.6064       8351.0647      41599.9543     210005.4452    -515420.8092        620.6039      39723.6913     153119.6364     -23479.7266    -714721.3093      32163.7809     215555.8167    -613172.6180      53586.0839     403344.1384   -2286827.3262      -2721.2724   -2891615.1189    -466357.3448     -16915.6278     753914.5357   -3659609.9287       5282.7949      10582.5984   -2820490.4026     332525.6527   -1388852.5601       7297.4717        888.5360   -1315970.5985       2292.8210   -1133912.3124    -258803.9129   -1139705.9298     -10160.4631      25075.2534    -625134.4961      56941.8792    -264525.3543   -2422863.4293      47314.6988   -3204071.5234    -783375.0809     837283.1430   -1585800.9588
  19975956.5439   12203597.2642    4811374.9956   11440850.2829      22593.4666      56877.2161      33136.7571     316619.5403      33175.4418      33972.7816     118621.7806     -68777.8643      58687.2996     194438.0002    -467369.5683       -195.1809    -360246.9686    -364737.6474         14.2068       7583.8067       2335.9950       9652.0878      22628.3973    -880022.1255        707.7067       2257.7568       9956.9033      62887.2593    -203525.8864        261.1400      11619.7781      53647.3289      -9282.2840    -251229.1066       8075.3613      64896.8706    -242490.1953      18209.2491     171363.3590    -801940.2987       -486.6520   -1150762.6679    -184512.0199      -5210.2906     298229.1748   -1270069.8999       1357.7757       2859.2602    -984111.3311      96646.5025    -550948.8706       2052.8267        135.3431    -520718.5235        546.0120    -491475.9402    -111963.6055    -450605.0074      -3219.4710       4575.5315    -246022.4546      13621.4958    -112519.5646    -959920.3924      13985.0110   -1273945.6447    -339887.1285     331142.2694    -679359.6742
  47600325.9848   29310534.4222   11440850.2829   31850042.5571      53446.2507     106646.0078      69863.1389     620048.4755      80785.8886      73771.0067     236629.3344    -170799.4783     111914.7763     531476.6041   -1148097.2536       -491.1900    -890327.4549    -889943.6668        173.3834      10255.6038       3715.8133      12412.4810      41668.4415   -2163572.2222       1057.0177       3497.0280      16027.1640     113368.8175    -498780.4429        367.6025      16807.2866      95063.3236     -26073.8178    -618968.3475      12396.2870     119530.3186    -596947.2776      32945.1313     509802.9275   -1979370.5256       -907.8458   -2844386.9734    -517809.2753      -8990.9516     841506.3326   -3111014.6210       1538.4830       5857.7822   -2423455.8198     175466.8444   -1551594.4110       4373.9320        641.9921   -1465392.8439       1575.6509   -1373336.9606    -341151.4550   -1264676.9521      -5255.3401      18626.7229    -687882.0993      41655.2006    -316802.9124   -2702536.2458      24847.9646   -3609252.3118   -1039251.6935     932282.2905   -2073048.8003
    114031.3835      66815.9058      22593.4666      53446.2507        133.6353        506.7305        292.0535       2193.4321        178.3473        283.2111        785.6222       -296.9522        333.3868        961.8322      -2482.4033         -2.7476      -1647.7230      -2011.0213         -0.8872         53.1694         16.1763         81.7416        148.5998      -4666.5803          4.0526         16.3191         90.2316        405.6860       -947.8275          0.6084         71.0163        283.5808        -42.7356      -1305.3436         60.4735        406.2631      -1112.7873         99.0505        715.3551      -4239.2530         -3.1432      -5321.7872       -849.6556        -34.1868       1352.9601      -6992.6109         17.2318         21.5593      -5230.5140        640.2433      -2528.0378         14.8091          1.6538      -2358.6084          4.4452      -2024.4117       -456.7843      -2076.1637        -20.0098         46.9252      -1123.6347        108.9734       -472.2489      -4407.7562         96.6540      -5723.9266      -1381.4154       1522.6531      -2796.3340
    383203.5788     201582.0000      56877.2161     106646.0078        506.7305       4538.4506       1919.5805      11344.7855        567.4752       1818.9713       4250.5255       -677.8581       1680.2260       2721.3927      -6681.5223        -26.0733      -3564.9856      -5998.2979        -17.5594        200.8622         29.2688        389.4228        532.4697     -12577.6027          5.5349         64.4487        486.9791       1559.4728      -2118.0721         -7.6774        203.7272        805.1909        -77.7276      -3419.3597        188.6812       1460.1513      -2429.7413        273.4760        951.5175     -11317.3583         13.0706     -11772.8507      -1549.4383       -161.2676       2345.9315     -20828.9701        184.9597        102.4417     -14139.8470       2504.1713      -4540.3096         65.2836          5.0589      -4143.3487         17.1111      -2952.1533       -540.0780      -3788.0994        -87.8416        136.8318      -2049.6737        340.2313       -686.3519      -7949.0296        433.4245      -9662.9543      -1567.5238       2749.0002      -3200.6152
    235837.6507     126793.3231      33136.7571      69863.1389        292.0535       1919.5805       1405.5514       6222.7395        329.1012       1293.6446       2220.4575       -484.5870       1276.5729       1538.9136      -4343.9349        -15.2830      -2114.2489      -3816.4065         -6.1543        148.7868         39.8433        260.3197        351.6630      -8135.6289          6.9221         46.5426        335.2899        970.1940      -1273.6336         -3.1920        141.1983        426.1350        -51.8789      -2166.5241        173.1774        912.9256      -1443.3816        147.0265        620.0887      -7341.5388         -4.9035      -7027.1290      -1027.9014        -89.4286       1578.1671     -13225.6578         71.0214         63.5246      -9185.2069       1582.8947      -3019.4696         44.5766          4.5137      -2747.9474         12.6595      -1961.8161       -351.6536      -2517.0920        -48.2731        112.4523      -1348.6868        250.6314       -443.7360      -5292.0782        269.3631      -6440.9010      -1027.7414       1838.2647      -2156.0179
   1809243.3034    1036878.7273     316619.5403     620048.4755       2193.4321      11344.7855       6222.7395      48960.4068       2737.9414       5938.1788      17637.5075      -3667.3820       7652.7710      16275.1380     -36888.8423        -60.5820     -21629.7200     -30590.7807        -21.9085       1012.0626        294.0208       1600.8712       2729.3634     -69380.1270         75.2611        321.5525       1854.6118       8212.5824     -12669.5910          3.5348       1333.5985       5068.9410       -470.6483     -19180.8777       1160.1230       8003.1741     -14673.2734       1676.5067       6283.6119     -62769.1982        -59.0468     -70265.8012      -9389.5043       -788.6302      14634.2909    -106166.5980        351.9137        353.4140     -77775.9762      12893.4768     -27618.1841        295.6201         22.2211     -25756.3671         88.0832     -19128.1544      -3603.8516     -22960.5597       -449.5624        657.2827     -12568.4036       1729.6708      -4458.5131     -48178.9662       2125.6209     -60631.9828     -10592.8729      16646.5587     -21245.2385
    155756.9091      95619.0792      33175.4418      80785.8886        178.3473        567.4752        329.1012       2737.9414        264.3013        363.5058       1055.7826       -447.6054        437.6398       1413.2816      -3604.7943         -3.1379      -2505.2392      -2804.2483         -0.1696         61.4835         18.5573         77.3032        191.2044      -6794.5905          5.5849         18.2337         93.6065        538.2908      -1406.6869          1.2141         90.3235        397.9077        -64.8843      -1955.5123         66.4090        558.6440      -1689.1409        136.9444       1112.0440      -6185.8091         -5.6200      -7929.2263      -1288.1882        -44.8444       2098.1217      -9771.4334         12.7555         25.6206      -7606.7041        846.5399      -3838.8605         19.1385          2.3878      -3669.1897          6.1650      -3148.0290       -715.7975      -3146.2364        -26.6284         67.2907      -1738.8040        151.8115       -734.8607      -6694.7580        120.3357      -8944.4356      -2170.9395       2312.9874      -4392.6790
    232342.2267     131962.7890      33972.7816      73771.0067        283.2111       1818.9713       1293.6446       5938.1788        363.5058       1375.9710       2312.5022       -501.4894       1188.0768       1598.2218      -4542.1668        -15.7387      -2225.5249      -3820.6327         -4.7222        138.9793         33.6818        207.0444        351.2272      -8545.5882          8.4850         36.9238        294.8396        993.9806      -1314.1792         -3.8325        145.0160        456.8683        -55.3931      -2367.6775        139.3970        979.8388      -1518.9763        154.0827        666.6324      -7717.5832        -11.9265      -7252.4925      -1091.5819        -88.3937       1695.3024     -13264.4143         56.5951         58.0021      -9618.6289       1620.3276      -3203.4433         44.7079          6.0559      -2979.0999         16.1187      -2048.1857       -377.3256      -2667.0302        -49.9356        142.9560      -1451.0621        285.6354       -463.6433      -5621.8827        263.9146      -6985.2429      -1106.7589       1957.2596      -2329.3296
